graph,vars,clauses
g.10.0.gml.cnf, 122, 1108
g.10.1.gml.cnf, 122, 1164
g.10.11.gml.cnf, 164, 1314
g.10.12.gml.cnf, 110, 1102
g.10.13.gml.cnf, 110, 1086
g.10.14.gml.cnf, 110, 1086
g.10.15.gml.cnf, 99, 1026
g.10.16.gml.cnf, 99, 1026
g.10.17.gml.cnf, 99, 978
g.10.19.gml.cnf, 275, 2060
g.10.2.gml.cnf, 122, 1164
g.10.20.gml.cnf, 297, 2190
g.10.22.gml.cnf, 422, 3046
g.10.24.gml.cnf, 149, 1302
g.10.25.gml.cnf, 479, 3300
g.10.27.gml.cnf, 297, 2190
g.10.28.gml.cnf, 149, 1302
g.10.29.gml.cnf, 297, 2190
g.10.3.gml.cnf, 99, 1018
g.10.30.gml.cnf, 215, 1738
g.10.31.gml.cnf, 395, 2890
g.10.34.gml.cnf, 395, 2890
g.10.37.gml.cnf, 122, 1180
g.10.38.gml.cnf, 297, 2166
g.10.39.gml.cnf, 254, 1924
g.10.4.gml.cnf, 99, 1026
g.10.40.gml.cnf, 275, 2036
g.10.41.gml.cnf, 275, 2028
g.10.42.gml.cnf, 99, 1010
g.10.45.gml.cnf, 122, 1164
g.10.46.gml.cnf, 180, 1536
g.10.5.gml.cnf, 164, 1434
g.10.50.gml.cnf, 149, 1286
g.10.56.gml.cnf, 135, 1244
g.10.57.gml.cnf, 180, 1536
g.10.58.gml.cnf, 180, 1536
g.10.6.gml.cnf, 99, 1010
g.10.60.gml.cnf, 180, 1536
g.10.61.gml.cnf, 215, 1754
g.10.62.gml.cnf, 215, 1754
g.10.68.gml.cnf, 149, 1222
g.10.69.gml.cnf, 180, 1480
g.10.7.gml.cnf, 135, 1236
g.10.70.gml.cnf, 99, 946
g.10.71.gml.cnf, 110, 886
g.10.72.gml.cnf, 122, 1180
g.10.74.gml.cnf, 135, 1252
g.10.75.gml.cnf, 135, 1236
g.10.78.gml.cnf, 110, 1086
g.10.79.gml.cnf, 215, 1706
g.10.8.gml.cnf, 135, 1244
g.10.80.gml.cnf, 215, 1706
g.10.82.gml.cnf, 234, 1822
g.10.83.gml.cnf, 180, 1504
g.10.85.gml.cnf, 215, 1754
g.10.86.gml.cnf, 215, 1674
g.10.88.gml.cnf, 275, 2108
g.10.89.gml.cnf, 135, 1244
g.10.9.gml.cnf, 99, 1034
g.10.90.gml.cnf, 180, 1376
g.10.91.gml.cnf, 164, 1258
g.10.92.gml.cnf, 99, 914
g.10.93.gml.cnf, 180, 1296
g.10.94.gml.cnf, 215, 1754
g.100.0.gml.cnf, 23477, 1140736
g.100.1.gml.cnf, 23477, 1140736
g.100.3.gml.cnf, 10409, 1018848
g.11.0.gml.cnf, 132, 1466
g.11.10.gml.cnf, 132, 1458
g.11.16.gml.cnf, 1230, 8974
g.11.17.gml.cnf, 1230, 8974
g.11.19.gml.cnf, 174, 1544
g.11.2.gml.cnf, 145, 1546
g.11.20.gml.cnf, 120, 1348
g.11.21.gml.cnf, 120, 1100
g.11.22.gml.cnf, 120, 1364
g.11.23.gml.cnf, 379, 2894
g.11.24.gml.cnf, 190, 1718
g.11.25.gml.cnf, 379, 3006
g.11.28.gml.cnf, 145, 1442
g.11.29.gml.cnf, 354, 2766
g.11.3.gml.cnf, 120, 1380
g.11.30.gml.cnf, 190, 1822
g.11.35.gml.cnf, 120, 1380
g.11.36.gml.cnf, 132, 1442
g.11.37.gml.cnf, 190, 1790
g.11.38.gml.cnf, 174, 1696
g.11.45.gml.cnf, 159, 1436
g.11.46.gml.cnf, 174, 1664
g.11.49.gml.cnf, 132, 1402
g.11.5.gml.cnf, 132, 1450
g.11.50.gml.cnf, 145, 1530
g.11.51.gml.cnf, 120, 1220
g.11.55.gml.cnf, 120, 1308
g.11.57.gml.cnf, 132, 1426
g.11.6.gml.cnf, 145, 1530
g.11.60.gml.cnf, 120, 1380
g.11.61.gml.cnf, 145, 1378
g.11.62.gml.cnf, 207, 1934
g.11.63.gml.cnf, 225, 2016
g.11.64.gml.cnf, 159, 1628
g.11.65.gml.cnf, 159, 1636
g.11.66.gml.cnf, 207, 1878
g.11.68.gml.cnf, 159, 1636
g.11.69.gml.cnf, 174, 1696
g.11.7.gml.cnf, 120, 1388
g.11.71.gml.cnf, 264, 2290
g.11.72.gml.cnf, 264, 2330
g.11.73.gml.cnf, 159, 1628
g.11.75.gml.cnf, 145, 1546
g.11.76.gml.cnf, 285, 2426
g.11.9.gml.cnf, 145, 1538
g.12.0.gml.cnf, 201, 2192
g.12.101.gml.cnf, 185, 2090
g.12.102.gml.cnf, 185, 1826
g.12.104.gml.cnf, 255, 2438
g.12.105.gml.cnf, 275, 2556
g.12.106.gml.cnf, 170, 1982
g.12.107.gml.cnf, 365, 3280
g.12.108.gml.cnf, 218, 2320
g.12.109.gml.cnf, 156, 1804
g.12.110.gml.cnf, 143, 1668
g.12.111.gml.cnf, 390, 3392
g.12.112.gml.cnf, 443, 3774
g.12.113.gml.cnf, 218, 2288
g.12.114.gml.cnf, 185, 2066
g.12.117.gml.cnf, 143, 1812
g.12.118.gml.cnf, 296, 2788
g.12.121.gml.cnf, 255, 2534
g.12.122.gml.cnf, 201, 2192
